thing_id	color_ri	kcorrR	zspec	plate	MJD	fibre
66754792	0.33556826412677765	1.05831	0.5034	3783	55246	821
117366712	0.3348551318049431	1.00784	0.5067	3815	55537	941
146890907	0.2998882681131363	1.07655	0.5028	4303	55508	691
492359420	0.3815040811896324	1.0398	0.5075	3699	55517	909
137696932	0.2874472588300705	1.04726	0.5518	4269	55502	925
299306419	0.35923632979393005	1.0905	0.547	4483	55587	790
404946948	0.3458358831703663	1.04446	0.5262	3982	55332	845
52100942	0.3586632236838341	1.09504	0.5979	4363	55537	49
133853336	0.2694287896156311	1.0062	0.5197	4055	55359	883
462149308	0.31259220838546753	1.07871	0.5095	4689	55656	557
368818776	0.37024496123194695	1.07079	0.5004	3871	55307	19
173530399	0.3083164133131504	1.0395	0.5487	4833	55679	949
260704	0.2834102623164654	1.05621	0.5376	791	52435	117
375683039	0.267920158803463	1.01173	0.542	5009	55707	963
52714539	0.2550221160054207	1.00863	0.5654	4382	55742	187
115894705	0.27828552573919296	1.06744	0.5152	4233	55449	673
172631753	0.29044027626514435	1.05946	0.5958	4085	55452	53
162698897	0.3188602030277252	1.03319	0.5473	4857	55711	445
155660746	0.340906985104084	1.00637	0.5024	4778	55706	603
169761536	0.3322003558278084	1.05832	0.5248	4088	55451	447
124517737	0.37753458321094513	1.08667	0.5291	4025	55350	743
320781076	0.3439590111374855	1.03631	0.5281	4186	55691	223
230458944	0.3460579663515091	1.09238	0.5588	4891	55736	627
124807612	0.2945600636303425	1.0369	0.5027	4039	55648	222
128273182	0.3173135221004486	1.04714	0.5824	4275	55501	7
427714871	0.36444221436977386	1.00636	0.557	4700	55709	37
130211666	0.28554481267929077	1.02743	0.542	4732	55648	33
160020509	0.3135151229798794	1.02415	0.5187	4831	55679	259
174862345	0.35047511756420135	1.05262	0.5377	4856	55712	653
176801603	0.30411607027053833	1.04925	0.5272	4885	55735	925
170004352	0.3522781655192375	1.0559	0.5693	4857	55711	239
440884789	0.31391749531030655	1.00091	0.5144	4702	55618	104
56971909	0.3525462821125984	1.01581	0.5287	4360	55539	494
89631338	0.3301381915807724	1.05236	0.594	4195	55452	187
257559731	0.3691142052412033	1.00312	0.51	4495	55566	931
204491473	0.27763718366622925	1.00903	0.5497	4094	55481	829
83528649	0.336273729801178	1.07956	0.5323	3832	55289	337
87840202	0.26956021040678024	1.00863	0.506	4216	55477	183
117401185	0.2924306243658066	1.09902	0.5526	3823	55534	797
256668403	0.349477656185627	1.01926	0.5941	3939	55633	145
458857698	0.2896803691983223	1.09711	0.5671	4693	55632	225
123222217	0.3610551357269287	1.01704	0.5382	3837	55572	802
378324476	0.33340656757354736	1.03037	0.5185	4449	55544	781
405714985	0.33959831669926643	1.07917	0.5133	4645	55623	71
386093412	0.30322765558958054	1.09815	0.5655	3866	55623	593
415664585	0.2825623396784067	1.02297	0.5953	4634	55626	391
87853648	0.32162556797266006	1.04061	0.5041	4218	55479	429
187109070	0.2927341014146805	1.01809	0.5333	4531	55563	777
